Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  15.02.2011;139,45;139,45;138,98;138,98;264
  16.02.2011;138,96;138,96;138,96;138,96;52
  17.02.2011;139,19;139,19;139,19;139,19;250
  18.02.2011;139,49;140,31;139,49;140,31;153
  21.02.2011;139,65;139,65;138,07;138,07;356
  22.02.2011;137,74;137,74;137,74;137,74;43
  23.02.2011;136,85;136,85;136,68;136,68;190
  24.02.2011;136,68;136,68;136,68;136,68;40
  25.02.2011;135,79;136,49;135,79;136,49;75
  28.02.2011;137,36;137,36;136,46;136,90;404
  01.03.2011;136,90;136,90;136,90;136,90;77
  02.03.2011;136,90;136,90;136,90;136,90;77
  03.03.2011;136,95;137,96;136,86;137,11;536
  04.03.2011;137,11;137,11;137,11;137,11;34
  07.03.2011;137,11;137,11;137,11;137,11;17
  08.03.2011;136,32;136,32;136,32;136,32;5
  09.03.2011;136,32;136,32;136,32;136,32;5
  10.03.2011;136,32;136,32;136,32;136,32;5
  11.03.2011;133,58;134,48;133,58;134,48;65
  14.03.2011;133,54;133,54;130,27;131,66;820
  15.03.2011;130,85;131,69;128,02;130,16;1.108
  16.03.2011;129,45;132,48;129,45;132,17;295
  17.03.2011;128,73;130,75;128,73;130,75;95
  18.03.2011;129,85;131,64;129,85;131,64;118
  21.03.2011;133,47;133,47;132,65;132,65;124
  22.03.2011;133,19;133,51;131,41;133,51;104
  23.03.2011;132,51;132,51;132,51;132,51;75
  24.03.2011;133,72;133,72;133,72;133,72;50
  25.03.2011;133,72;133,72;133,72;133,72;50
  28.03.2011;133,72;133,72;133,72;133,72;50
  29.03.2011;133,72;133,72;133,72;133,72;50
  30.03.2011;133,72;133,72;133,72;133,72;50
  31.03.2011;136,75;136,75;136,75;136,75;100
  01.04.2011;136,75;136,75;136,75;136,75;100
  04.04.2011;136,75;136,75;136,02;136,02;65
  05.04.2011;135,98;136,85;135,98;136,85;153
  06.04.2011;136,34;136,59;135,36;135,36;92
  07.04.2011;136,07;136,07;136,07;136,07;71
  11.04.2011;136,41;136,41;136,41;136,41;20
  13.04.2011;134,84;134,84;133,70;133,70;140
  14.04.2011;132,66;132,66;132,17;132,17;60
  18.04.2011;132,32;132,32;132,32;132,32;40
  19.04.2011;133,01;133,81;132,83;132,93;200
  20.04.2011;133,84;133,84;133,84;133,84;38
  26.04.2011;136,40;136,40;135,49;135,49;231
  28.04.2011;134,55;135,48;134,55;134,57;124
  29.04.2011;135,44;135,44;135,44;135,44;3
  02.05.2011;134,61;134,61;134,53;134,53;92
  04.05.2011;134,10;134,10;134,10;134,10;8
  06.05.2011;132,43;132,43;132,43;132,43;35
  11.05.2011;136,71;136,71;134,78;135,53;110
  12.05.2011;133,24;135,05;133,24;135,05;52
  13.05.2011;134,91;134,91;134,91;134,91;78
  16.05.2011;134,59;134,59;134,58;134,58;56
  17.05.2011;132,79;132,79;132,79;132,79;80
  20.05.2011;134,49;134,49;134,49;134,49;78
  23.05.2011;133,31;133,76;132,76;132,76;592
  24.05.2011;132,60;133,70;132,60;133,70;90
  30.05.2011;136,34;136,34;136,34;136,34;3
  31.05.2011;135,20;135,45;135,20;135,45;312
  02.06.2011;134,59;134,59;134,59;134,59;79
  03.06.2011;134,47;134,47;134,47;134,47;50
  08.06.2011;130,96;130,96;130,96;130,96;36
  14.06.2011;132,31;132,31;132,31;132,31;80
  22.06.2011;131,32;131,32;131,32;131,32;10
  24.06.2011;131,09;131,65;131,09;131,65;90
  28.06.2011;130,20;130,20;130,20;130,20;162
  01.07.2011;132,96;132,96;132,96;132,96;158
  04.07.2011;133,60;133,60;133,60;133,60;60
  05.07.2011;133,85;133,85;133,85;133,85;20
  08.07.2011;134,51;134,51;134,51;134,51;23
  12.07.2011;133,03;133,03;133,02;133,02;80
  14.07.2011;134,22;134,22;134,22;134,22;70
  18.07.2011;131,93;131,94;131,93;131,94;100
  19.07.2011;133,18;133,18;133,18;133,18;158
  25.07.2011;133,64;133,64;133,64;133,64;31
  28.07.2011;131,43;131,43;131,43;131,43;40
  02.08.2011;130,36;130,93;128,87;128,87;81
  03.08.2011;130,20;130,20;130,20;130,20;50
  04.08.2011;129,90;129,90;129,90;129,90;3
  05.08.2011;122,82;125,38;120,89;124,99;862
  08.08.2011;118,51;124,88;118,51;120,49;1.306
  09.08.2011;116,65;123,17;116,65;123,17;321
  10.08.2011;122,85;125,13;121,24;121,24;219
  11.08.2011;121,98;121,98;120,58;120,58;50
  12.08.2011;121,91;123,85;121,91;123,77;113
  15.08.2011;126,84;127,03;126,84;126,97;160
  18.08.2011;123,76;123,76;123,38;123,38;196
  19.08.2011;121,28;123,81;119,51;122,67;485
  22.08.2011;119,04;119,04;119,04;119,04;10
  23.08.2011;124,00;124,00;124,00;124,00;4
  24.08.2011;124,50;124,50;124,50;124,50;20
  25.08.2011;123,54;123,54;123,54;123,54;52
  26.08.2011;122,00;122,00;121,76;121,76;450
  29.08.2011;123,12;123,12;122,54;122,54;118
  30.08.2011;126,23;126,23;126,23;126,23;17
  02.09.2011;125,93;125,93;125,93;125,93;80
  05.09.2011;125,83;125,83;125,83;125,83;8
  07.09.2011;126,46;126,46;126,46;126,46;12
  08.09.2011;127,19;127,19;127,19;127,19;70
